user_id,feed_id,favourite_team,favourite_club,like_count,comment_count,share_count,player_id,match_id,cid,media_type,hour_of_day,day_of_week,is_weekend,recency_seconds
150898,1526779,25,646,3,0,0,620,87016,129438,text,8,6,1,22034.233272
1722083,2232154,25,646,5,0,0,638,87735,129413,text,12,5,1,14469.438905
1258962,3001679,25,unknown,26,7,1,93855,87750,129413,text,12,4,0,2931.026213
1491144,2190147,25,646,8,0,0,46124,87732,129413,text,11,3,0,616.962158
212590,2279450,25,123216,7,0,0,123,87737,129413,text,17,6,1,40213.603033
1266721,1713244,25,unknown,27,0,0,110728,87705,129413,text,17,2,0,8928.606378
1832515,3030367,25,646,26,6,4,90233,87750,129413,text,19,4,0,42118.424813
1131144,4008587,25,646,18,6,4,123,89821,129413,text,12,1,0,2193.341603
1390708,2157633,25,unknown,22,0,0,601,87730,129413,text,17,1,0,43374.505475
212590,2114193,25,123216,8,0,0,60564,87728,129413,text,13,6,1,54754.550273
1832515,2413271,25,646,48,4,4,652,87742,129413,text,18,4,0,46516.042268
739315,1876459,25,123216,8,0,0,105,87713,129413,text,16,2,0,5268.063129
150898,3955205,25,646,6,2,0,46117,89820,129413,text,14,0,0,10087.367259
1264110,1771272,25,610,17,0,0,47,87708,129413,text,11,5,1,4869.914416
151119,1676794,25,123216,1,0,0,94752,87703,129413,text,16,0,0,642.96296
212590,1182141,25,123216,2,0,0,115390,87279,129450,text,15,6,1,252.966523
1130853,1226624,25,646,7,0,0,43371,87002,129438,image,15,2,0,260.368733
1131547,2650392,25,610,18,1,0,90739,87746,129413,text,15,0,0,46471.428573
1491144,2345154,25,646,5,0,0,46124,87740,129413,image,15,2,0,216.148334
1832515,2159155,25,646,22,0,0,654,87730,129413,image,17,1,0,130.556451
1832515,2508133,25,646,8,0,0,1098,87744,129413,text,14,6,1,3.373231
1832515,2218574,25,646,1,1,0,620,87733,129413,text,20,4,0,32161.683416
739315,3272789,25,123216,7,0,0,96517,87755,129413,text,13,1,0,62586.17512
148669,1731841,25,593,16,0,0,810,87706,129413,text,18,3,0,31.59366
150898,1520738,25,646,1,0,0,96981,87294,129450,image,17,5,1,1772.02124
1132638,1591994,25,unknown,24,0,0,44708,87297,129450,text,18,3,0,2185.182043
1131547,2436802,25,610,31,0,0,601,87743,129413,text,16,5,1,4764.319426
151236,778507,unknown,658,1,0,0,47899,85857,129391,image,14,1,0,6.87491
151119,3002152,25,123216,3,0,0,105,87750,129413,text,12,4,0,2528.620721
739315,855048,25,123216,1,0,0,6,1,1,text,17,0,0,176429.525734
212590,1234297,25,123216,5,0,0,115,87003,129438,image,7,3,0,2524.932473
742817,1323186,25,610,4,5,0,119,87006,129438,image,16,6,1,46347.133821
1678681,1956098,unknown,658,3,0,0,638,87717,129413,image,18,5,1,40646.745659
151236,1399529,unknown,658,3,0,0,44991,87011,129438,text,11,4,0,197.619232
739315,2266298,25,123216,5,0,0,119,87736,129413,text,13,6,1,57297.506491
1130853,2678187,25,646,35,22,5,133475,87746,129413,image,18,0,0,4639.563821
1130853,2323343,25,646,23,0,0,1098,87739,129413,text,15,1,0,7264.636002
148669,1906634,25,593,2,0,0,46117,87715,129413,text,14,4,0,14842.602539
1832515,4163712,25,646,11,5,1,83,89823,129413,text,18,3,0,45043.087632
1130853,4903843,25,646,11,5,2,620,89832,129413,text,4,0,0,288.826781
151119,1907857,25,123216,2,0,0,83,87715,129413,image,15,4,0,19540.20893
1678681,1880797,unknown,658,3,0,0,434,87713,129413,text,18,2,0,6.65504
1654889,2265480,unknown,unknown,22,0,0,93497,87736,129413,text,12,6,1,996.255232
1131547,3172230,25,610,10,1,0,1098,87753,129413,image,18,6,1,35733.896049
1264110,2303366,25,610,22,0,0,89978,87738,129413,text,17,0,0,37562.87657
1654889,1710432,unknown,unknown,27,0,0,93357,87705,129413,text,15,2,0,11818.307932
2037145,2977032,unknown,unknown,6,0,0,727,87749,129413,image,2,4,0,181.139031
1832515,4697148,25,646,34,5,2,119,89830,129413,text,18,3,0,101.111721
1722083,2402955,25,646,16,0,0,94251,87742,129413,text,16,4,0,52946.878088
